               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11363,            0.012382,                   0,                   1,             0.15973,             0.30003,             0.08397,            0.077172,           0.0097843,                   0,              0.0829,              0.0019,              0.0019
                   1,            0.088817,            0.018197,                   0,             0.54885,             0.58333,             0.51639,             0.17094,            0.063076,            0.010652,                   0,            0.064823,           0.0038228,           0.0038228
                   2,            0.071202,            0.018036,                   0,             0.71958,                0.75,             0.82733,              0.2037,            0.083792,           0.0081821,                   0,            0.046666,           0.0056664,           0.0056664
                   3,            0.063699,            0.017907,                   0,             0.57484,                0.75,             0.77205,             0.42505,            0.064156,           0.0075843,                   0,            0.028431,           0.0074307,           0.0074307
                   4,            0.057808,            0.018055,                   0,             0.50868,                   1,             0.52102,             0.12833,            0.057165,           0.0072598,                   0,            0.010116,           0.0091159,           0.0091159
                   5,            0.054653,            0.017008,                   0,             0.85515,             0.83333,             0.93227,             0.50981,            0.043179,           0.0069639,                   0,             0.00901,             0.00901,             0.00901
                   6,            0.047255,            0.016584,                   0,             0.68264,             0.83333,             0.83293,             0.35211,            0.048289,           0.0073009,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.043159,            0.015164,                   0,             0.86269,                0.75,             0.87972,             0.52505,            0.047191,           0.0069619,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.040739,            0.014254,                   0,             0.99361,                   1,               0.995,             0.54487,            0.027666,           0.0064162,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.038248,            0.012389,                   0,             0.99108,                   1,               0.995,             0.54937,            0.026934,           0.0055849,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.034387,            0.011541,                   0,             0.99251,                   1,               0.995,             0.63819,             0.02441,             0.00543,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.034817,            0.011868,                   0,             0.99376,                   1,               0.995,             0.68311,            0.020507,           0.0049418,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.032692,            0.010888,                   0,              0.9942,                   1,               0.995,             0.73779,            0.028086,           0.0045451,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.030079,            0.010109,                   0,             0.99358,                   1,               0.995,             0.56461,            0.027459,           0.0041696,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.030919,           0.0091196,                   0,             0.99355,                   1,               0.995,             0.61013,            0.028767,           0.0039995,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.029629,           0.0095067,                   0,             0.99505,                   1,               0.995,             0.68397,            0.026736,           0.0037855,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.029334,           0.0082145,                   0,             0.99501,                   1,               0.995,             0.70862,            0.022146,           0.0038204,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.026922,           0.0084616,                   0,             0.99501,                   1,               0.995,             0.65781,            0.023011,           0.0036125,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.026027,           0.0078654,                   0,             0.99331,                   1,               0.995,              0.7702,            0.019884,           0.0036146,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.026143,           0.0078828,                   0,             0.99469,                   1,               0.995,             0.74339,             0.01738,           0.0034678,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.024188,           0.0080903,                   0,             0.99496,                   1,               0.995,              0.8201,            0.021313,           0.0033085,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.023723,           0.0067733,                   0,             0.99396,                   1,               0.995,             0.79221,            0.021755,           0.0031502,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.023114,           0.0071483,                   0,             0.99456,                   1,               0.995,             0.75457,            0.020281,           0.0032034,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.022532,            0.006922,                   0,             0.99463,                   1,               0.995,             0.86201,            0.015877,           0.0030367,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.021472,           0.0071386,                   0,             0.99511,                   1,               0.995,             0.87315,            0.017443,           0.0030109,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.021107,           0.0063887,                   0,             0.99526,                   1,               0.995,             0.80867,            0.017568,           0.0030823,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.019968,           0.0069705,                   0,             0.99489,                   1,               0.995,             0.86359,            0.014957,           0.0030968,                   0,             0.00505,             0.00505,             0.00505
                  27,             0.01969,           0.0065666,                   0,             0.99471,                   1,               0.995,             0.82911,              0.0188,           0.0031042,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.019159,           0.0065226,                   0,             0.99505,                   1,               0.995,             0.86605,             0.01421,           0.0028865,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.019378,           0.0062166,                   0,             0.99503,                   1,               0.995,             0.87912,             0.01357,           0.0028603,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.019792,           0.0066654,                   0,             0.99537,                   1,               0.995,             0.88049,            0.012603,            0.002868,                   0,            0.004258,            0.004258,            0.004258
                  31,              0.0182,           0.0065948,                   0,             0.99487,                   1,               0.995,             0.86209,             0.01422,           0.0028886,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.017536,           0.0061802,                   0,             0.99516,                   1,               0.995,              0.8267,            0.014687,           0.0027964,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.016636,           0.0061678,                   0,             0.99514,                   1,               0.995,             0.86395,            0.013243,           0.0027578,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.016785,           0.0057326,                   0,             0.99509,                   1,               0.995,             0.87421,            0.010946,            0.002675,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.015325,           0.0058262,                   0,              0.9949,                   1,               0.995,             0.86967,            0.014036,           0.0027547,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.014606,            0.005547,                   0,             0.99515,                   1,               0.995,             0.89447,            0.011258,            0.002726,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.014501,           0.0053244,                   0,             0.99502,                   1,               0.995,             0.88253,            0.011501,           0.0027041,                   0,            0.002872,            0.002872,            0.002872
                  38,             0.01464,           0.0056148,                   0,             0.99518,                   1,               0.995,             0.88257,            0.011021,           0.0027134,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.014068,           0.0056994,                   0,             0.99524,                   1,               0.995,             0.91069,           0.0091582,           0.0025562,                   0,            0.002476,            0.002476,            0.002476
                  40,             0.01382,           0.0055968,                   0,             0.99522,                   1,               0.995,             0.89494,           0.0096508,           0.0026547,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.013054,           0.0052647,                   0,             0.99536,                   1,               0.995,              0.8818,            0.011197,           0.0026856,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.013072,           0.0053536,                   0,             0.99532,                   1,               0.995,              0.8746,             0.01158,           0.0027441,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.012039,           0.0052749,                   0,             0.99525,                   1,               0.995,             0.91436,            0.010066,            0.002658,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.012678,           0.0050306,                   0,             0.99532,                   1,               0.995,             0.90614,            0.009659,           0.0026115,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.011241,            0.004939,                   0,             0.99537,                   1,               0.995,             0.92684,           0.0092593,           0.0025132,                   0,            0.001288,            0.001288,            0.001288
                  46,              0.0114,           0.0049158,                   0,             0.99539,                   1,               0.995,             0.90531,           0.0097078,           0.0024901,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.010823,           0.0048675,                   0,             0.99545,                   1,               0.995,              0.8996,           0.0088114,           0.0024314,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.011046,           0.0047446,                   0,             0.99545,                   1,               0.995,             0.90709,             0.00882,           0.0024544,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.010667,           0.0049194,                   0,             0.99547,                   1,               0.995,              0.9071,           0.0086306,           0.0024204,                   0,            0.000496,            0.000496,            0.000496
