               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11977,            0.015912,                   0,             0.27984,                 0.1,            0.090751,            0.029435,             0.09404,            0.013995,                   0,               0.091,               0.001,               0.001
                   1,            0.098415,            0.018254,                   0,           0.0089279,                 0.9,             0.16662,            0.054794,            0.074108,            0.015467,                   0,            0.080996,            0.001996,            0.001996
                   2,            0.085928,            0.021347,                   0,             0.39566,                 0.3,             0.35313,             0.12533,            0.062415,            0.014945,                   0,            0.070883,           0.0028832,           0.0028832
                   3,             0.07447,            0.019943,                   0,             0.09881,                 0.3,             0.13338,            0.042402,            0.069956,            0.012534,                   0,            0.060661,           0.0036614,           0.0036614
                   4,             0.06532,            0.019548,                   0,             0.43943,                 0.8,             0.70818,             0.27247,            0.057315,            0.011967,                   0,            0.050331,           0.0043308,           0.0043308
                   5,            0.058754,            0.020004,                   0,             0.82895,             0.97107,              0.9075,             0.29904,            0.048593,            0.011574,                   0,            0.039891,           0.0048912,           0.0048912
                   6,            0.058221,            0.018867,                   0,             0.74708,                 0.9,             0.89667,             0.34517,            0.059803,           0.0099641,                   0,            0.029343,           0.0053428,           0.0053428
                   7,            0.052197,            0.018776,                   0,             0.62218,                 0.9,             0.82972,             0.30605,            0.058957,           0.0091274,                   0,            0.018685,           0.0056854,           0.0056854
                   8,            0.052371,            0.019207,                   0,             0.64249,                 0.6,             0.76957,             0.27802,            0.056575,           0.0085918,                   0,           0.0079192,           0.0059192,           0.0059192
                   9,            0.052001,            0.017417,                   0,             0.83269,                   1,             0.96773,             0.57061,             0.04475,           0.0090732,                   0,            0.005545,            0.005545,            0.005545
                  10,            0.047175,            0.016773,                   0,             0.58676,                   1,             0.79311,              0.4857,            0.049203,           0.0084768,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.045322,            0.016662,                   0,             0.96926,                   1,               0.995,             0.39322,            0.039464,           0.0093971,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.041632,             0.01638,                   0,             0.96931,                   1,               0.995,             0.38886,            0.040215,            0.009005,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.036308,             0.01615,                   0,                   1,             0.99465,               0.995,             0.59446,            0.029518,           0.0083861,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.034616,            0.016059,                   0,             0.98643,                   1,               0.995,             0.59801,            0.031934,           0.0071811,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.033379,            0.014861,                   0,             0.98187,                   1,               0.995,             0.68685,            0.028899,           0.0067908,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.030633,            0.014153,                   0,             0.98982,                   1,               0.995,             0.72542,            0.028225,           0.0065565,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.028731,            0.012127,                   0,             0.98718,                   1,               0.995,             0.75535,            0.023765,           0.0065296,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.026239,            0.012589,                   0,             0.98777,                   1,               0.995,             0.73896,            0.019472,           0.0064889,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.024161,             0.01225,                   0,             0.98694,                   1,               0.995,             0.83895,            0.018697,           0.0062609,                   0,             0.00109,             0.00109,             0.00109
