               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1148,            0.016768,                   0,             0.44772,               0.176,             0.15054,            0.050578,            0.088931,            0.013887,                   0,              0.0865,              0.0015,              0.0015
                   1,            0.087995,            0.020287,                   0,             0.35018,             0.20909,             0.22332,            0.064271,            0.067757,            0.014729,                   0,            0.071486,           0.0024862,           0.0024862
                   2,            0.071893,            0.021371,                   0,             0.33406,               0.604,             0.36729,             0.11627,            0.056831,            0.013876,                   0,            0.055839,           0.0028388,           0.0028388
                   3,            0.061418,             0.02127,                   0,             0.63544,                0.76,             0.73334,             0.31571,            0.043559,             0.01325,                   0,            0.039558,           0.0025578,           0.0025578
                   4,            0.051586,            0.020762,                   0,             0.56252,               0.904,             0.72804,             0.32744,            0.042156,            0.012189,                   0,            0.022643,           0.0016432,           0.0016432
